net,length_um
u_regfile.wd\[6\],2743.81
u_regfile.wd\[11\],2620.665
u_regfile.wd\[5\],2437.27
u_regfile.wd\[3\],2426.51
u_regfile.wd\[4\],2356.305
u_regfile.wd\[10\],2339.195
u_regfile.wd\[24\],2280.05
u_regfile.wd\[19\],2270.595
u_regfile.wd\[9\],2243.145
u_regfile.wd\[22\],2125.52
u_regfile.wd\[17\],2041.71
net368,2016.5
u_regfile.wd\[0\],1967.2
u_regfile.wd\[1\],1822.165
net278,1723.32
u_regfile.wd\[12\],1698.63
net176,1686.06
net386,1631.86
clknet_2_3_0_clk,1579.03
net289,1575.52
u_regfile.wd\[7\],1546.77
u_regfile.wd\[14\],1537.54
net275,1513.84
net168,1476.76
net241,1462.36
u_regfile.wd\[2\],1458.58
clk,1445.37
net62,1441.18
u_regfile.wd\[13\],1427.245
u_regfile.wd\[20\],1419.24
net252,1365.4
net37,1351.68
net373,1316.78
u_regfile.wd\[21\],1312.43
net41,1303.48
net344,1301.66
net156,1299.69
net38,1299.52
net259,1285.62
net183,1277.64
net59,1236.34
u_regfile.wd\[15\],1223.19
net191,1217.04
u_regfile.wd\[16\],1194.01
net1,1181.74
net61,1178.86
u_regfile.wd\[18\],1159.71
u_regfile.wd\[8\],1147.85
u_regfile.wd\[25\],1136.41
net42,1128.46
clknet_2_1_0_clk,1125.94
clknet_2_0_0_clk,1115.81
net63,1111.4
net45,1083.28
net64,1082.5
net79,1066.68
net142,1064.08
u_imem.addr\[25\],1049.28
net301,1046.28
u_imem.addr\[19\],1041.74
u_imem.addr\[23\],1034.73
net60,1029.92
net49,1028.62
net57,1023.52
net34,1020.78
net43,1018.04
net35,1016.98
u_regfile.wd\[26\],1012.54
net89,1008.86
net379,998.18
net272,992.03
u_imem.addr\[28\],990
net54,965.42
net47,963.12
u_regfile._000_,960.06
u_imem.addr\[24\],949.99
net211,949.855
u_imem.addr\[18\],945.19
u_imem.addr\[27\],937.235
net152,931.84
net195,920.4
net48,915.78
net350,880.72
net56,880.44
net297,875.4
net53,874.36
net271,873.88
u_imem.addr\[16\],851.42
net58,849.89
net55,846.88
net330,844.98
u_imem.addr\[26\],843.95
net342,837.98
net304,837.37
net36,824.32
u_imem.addr\[20\],815.275
u_regfile.wd\[23\],805.64
u_imem.addr\[29\],804.51
net52,785.44
net50,777.82
u_imem.addr\[10\],776.3
u_regfile.wd\[31\],766.56
net40,758.84
net388,755.75
net383,752.62
u_alu.A\[19\],740.92
net397,737.88
u_alu._0512_,736.145
net321,734.81
net308,730.54
net51,725.8
net167,719.78
u_imem.addr\[17\],719.725
net377,712.8
u_regfile.wd\[30\],711.05
u_regfile.wd\[28\],699.09
u_regfile.wd\[27\],697.68
u_imem.addr\[21\],692.96
u_regfile.wd\[29\],690.8
u_imem.addr\[22\],681.89
net162,680.1
net147,674.82
u_alu.A\[20\],666.135
net281,665.78
net270,662.45
net239,660.48
net292,656.58
net365,655.19
u_pc_next_logic._0115_,653.3
net263,651.14
net371,650.88
u_alu._0285_,648.62
net273,646.74
u_imem.addr\[1\],646.555
net392,643.64
net266,637.9
u_imem.addr\[15\],635.485
u_alu._0589_,635.35
u_alu._0050_,626.3
net138,626.23
u_alu.A\[21\],616.9
net307,615.26
net262,613.44
u_pc_next_logic._0162_,608.54
clknet_2_2_0_clk,605.4
net267,605.04
u_imem.addr\[14\],603.37
u_alu.A\[17\],601.54
net39,589.64
net44,587.14
u_alu._0640_,585.225
u_alu._0482_,578.06
u_alu._0143_,577.72
u_imem.addr\[30\],575.48
u_decoder_controller.jump,571
net257,564.9
net300,564.02
u_alu._0517_,562.325
u_alu._0510_,562.055
u_alu._0679_,559.965
u_alu._0205_,554.47
u_alu.A\[25\],550.48
u_alu.A\[18\],548.555
net335,547.01
net385,540.7
net325,539.95
u_alu.A\[29\],539.38
net85,538.6
net86,538.58
net359,535.345
net146,524.38
u_imem.addr\[0\],517.8
u_alu.A\[6\],516.49
u_alu._0286_,515.34
u_alu._0269_,514.46
u_alu._0509_,513.435
u_pc_next_logic._0609_,512.14
u_pc_next_logic._0117_,511.915
u_alu.A\[26\],510.24
u_alu._0261_,509.46
u_alu.A\[5\],508.52
net354,507.07
u_pc_reg._037_,506.98
u_branch_unit.rs2_val\[31\],504.86
u_alu.A\[28\],502.49
u_imem.addr\[31\],501.15
u_imem.addr\[13\],500.5
net158,498.12
u_imem.addr\[7\],497.2
u_alu.A\[22\],494.86
u_wb_mux._080_,494.52
u_alu.Result\[1\],494.135
u_wb_mux._072_,494
u_alu.A\[24\],493.2
u_branch_unit.rs2_val\[30\],492.31
net251,489.3
net128,485.56
clknet_0_clk,485.1
net198,483.84
u_alu._0749_,482.665
u_wb_mux._078_,480.65
u_pc_next_logic._0590_,478.52
u_wb_mux._074_,476.78
net277,475.48
net139,475.46
u_wb_mux._076_,475.24
net194,474.56
u_wb_mux._070_,474.44
u_alu.A\[23\],474.205
u_pc_next_logic._0124_,473.1
u_alu.A\[11\],472.8
u_pc_next_logic._0111_,472.34
u_wb_mux._082_,472.26
net186,471.8
net65,470.98
u_alu._0275_,470.55
net296,468.18
u_branch_unit.rs1_val\[27\],467.04
net171,466.14
u_pc_next_logic._0108_,465.8
u_wb_mux._004_,465.58
u_alu.B\[27\],465.02
u_alu.A\[16\],464.17
net179,463.82
u_branch_unit.rs2_val\[6\],460.93
u_wb_mux._066_,460.76
u_wb_mux._002_,456.92
u_wb_mux._068_,456.8
net83,455.62
u_alu._0518_,455.465
u_pc_next_logic._0145_,453.52
u_alu.A\[10\],451.11
net303,450.9
u_imem.addr\[9\],450.74
u_pc_next_logic._0182_,450.37
u_branch_unit.rs2_val\[19\],450.21
u_branch_unit.rs2_val\[18\],445.44
net131,445.28
